timestamp,total_elapsed_us,delta_us,signal,value
30:52.6,3577493,2516,Temp_Low,16
30:52.7,3680337,102844,Current,10.8
30:52.7,3680337,102844,Voltage,307.2
30:52.7,3680337,102844,Battery_SOC,18
30:52.7,3682722,2385,Temp_High,27
30:52.7,3682722,2385,Temp_Low,17
30:52.8,3785532,102810,Current,11.8
30:52.8,3785532,102810,Voltage,307.2
30:52.8,3785532,102810,Battery_SOC,19
30:52.8,3787985,2453,Temp_High,27
30:52.8,3787985,2453,Temp_Low,17
30:52.9,3890833,102848,Current,12.8
30:52.9,3890833,102848,Voltage,307.2
30:52.9,3890833,102848,Battery_SOC,20
30:52.9,3893266,2433,Temp_High,28
30:52.9,3893266,2433,Temp_Low,18
30:53.0,3996092,102826,Current,13.8
30:53.0,3996092,102826,Voltage,307.2
30:53.0,3996092,102826,Battery_SOC,21
30:53.0,3998534,2442,Temp_High,28
30:53.0,3998534,2442,Temp_Low,18
30:53.1,4101342,102808,Current,14.8
30:53.1,4101342,102808,Voltage,307.2
30:53.1,4101342,102808,Battery_SOC,22
30:53.1,4103803,2461,Temp_High,28
30:53.1,4103803,2461,Temp_Low,18
30:53.2,4206539,102736,Current,15.8
30:53.2,4206539,102736,Voltage,307.2
30:53.2,4206539,102736,Battery_SOC,23
30:53.2,4209063,2524,Temp_High,29
30:53.2,4209063,2524,Temp_Low,19
30:53.3,4311861,102798,Current,16.8
30:53.3,4311861,102798,Voltage,307.2
30:53.3,4311861,102798,Battery_SOC,24
30:53.3,4314336,2475,Temp_High,29
30:53.3,4314336,2475,Temp_Low,19
30:53.4,4417188,102852,Current,17.8
30:53.4,4417188,102852,Voltage,307.2
30:53.4,4417188,102852,Battery_SOC,25
30:53.4,4419589,2401,Temp_High,30
30:53.4,4419589,2401,Temp_Low,20
30:53.5,4522463,102874,Current,44.4
30:53.5,4522463,102874,Voltage,307.2
30:53.5,4522463,102874,Battery_SOC,26
30:53.5,4524868,2405,Temp_High,30
30:53.5,4524868,2405,Temp_Low,20
30:53.6,4627737,102869,Current,45.4
30:53.6,4627737,102869,Voltage,307.2
30:53.6,4627737,102869,Battery_SOC,27
30:53.6,4630138,2401,Temp_High,30
30:53.6,4630138,2401,Temp_Low,20
30:53.7,4732980,102842,Current,46.4
30:53.7,4732980,102842,Voltage,307.2
30:53.7,4732980,102842,Battery_SOC,28
30:53.7,4735403,2423,Temp_High,31
30:53.7,4735403,2423,Temp_Low,21
30:53.8,4838259,102856,Current,47.4
30:53.8,4838259,102856,Voltage,307.2
30:53.8,4838259,102856,Battery_SOC,29
30:53.8,4840679,2420,Temp_High,31
30:53.8,4840679,2420,Temp_Low,21
30:53.9,4943518,102839,Current,48.4
30:53.9,4943518,102839,Voltage,307.2
30:53.9,4943518,102839,Battery_SOC,30
30:53.9,4945952,2434,Temp_High,32
30:53.9,4945952,2434,Temp_Low,22
30:54.0,5048832,102880,Current,49.4
30:54.0,5048832,102880,Voltage,307.2
30:54.0,5048832,102880,Battery_SOC,31
30:54.0,5051262,2430,Temp_High,32
30:54.0,5051262,2430,Temp_Low,22
30:54.1,5154147,102885,Current,50.4
30:54.1,5154147,102885,Voltage,307.2
30:54.1,5154147,102885,Battery_SOC,32
30:54.1,5156493,2346,Temp_High,32
30:54.1,5156493,2346,Temp_Low,22
30:54.3,5259316,102823,Current,25.8
30:54.3,5259316,102823,Voltage,332.8
30:54.3,5259316,102823,Battery_SOC,33
30:54.3,5261728,2412,Temp_High,33
30:54.3,5261728,2412,Temp_Low,23
30:54.4,5364606,102878,Current,26.8
30:54.4,5364606,102878,Voltage,332.8
30:54.4,5364606,102878,Battery_SOC,34
30:54.4,5366965,2359,Temp_High,33
30:54.4,5366965,2359,Temp_Low,23
30:54.5,5469788,102823,Current,27.8
30:54.5,5469788,102823,Voltage,332.8
30:54.5,5469788,102823,Battery_SOC,35
30:54.5,5472246,2458,Temp_High,34
30:54.5,5472246,2458,Temp_Low,24
30:54.6,5575136,102890,Current,28.8
30:54.6,5575136,102890,Voltage,332.8
30:54.6,5575136,102890,Battery_SOC,36
30:54.6,5577521,2385,Temp_High,34
30:54.6,5577521,2385,Temp_Low,24
30:54.7,5680324,102803,Current,29.8
30:54.7,5680324,102803,Voltage,332.8
30:54.7,5680324,102803,Battery_SOC,37
30:54.7,5682794,2470,Temp_High,34
30:54.7,5682794,2470,Temp_Low,24
30:54.8,5785598,102804,Current,30.8
30:54.8,5785598,102804,Voltage,332.8
30:54.8,5785598,102804,Battery_SOC,38
30:54.8,5788061,2463,Temp_High,35
30:54.8,5788061,2463,Temp_Low,25
30:54.9,5890921,102860,Current,31.8
30:54.9,5890921,102860,Voltage,332.8
30:54.9,5890921,102860,Battery_SOC,39
30:54.9,5893322,2401,Temp_High,35
30:54.9,5893322,2401,Temp_Low,25
30:55.0,5996144,102822,Current,32.8
30:55.0,5996144,102822,Voltage,332.8
30:55.0,5996144,102822,Battery_SOC,40
30:55.0,5998592,2448,Temp_High,36
30:55.0,5998592,2448,Temp_Low,26
30:55.1,6101402,102810,Current,33.8
30:55.1,6101402,102810,Voltage,332.8
30:55.1,6101402,102810,Battery_SOC,41
30:55.1,6103863,2461,Temp_High,36
30:55.1,6103863,2461,Temp_Low,26
30:55.2,6206719,102856,Current,34.8
30:55.2,6206719,102856,Voltage,332.8
30:55.2,6206719,102856,Battery_SOC,42
30:55.2,6209138,2419,Temp_High,36
30:55.2,6209138,2419,Temp_Low,26
30:55.3,6311988,102850,Current,35.8
30:55.3,6311988,102850,Voltage,332.8
30:55.3,6311988,102850,Battery_SOC,43
30:55.3,6314411,2423,Temp_High,37
30:55.3,6314411,2423,Temp_Low,27
30:55.4,6417257,102846,Current,36.8
30:55.4,6417257,102846,Voltage,332.8
30:55.4,6417257,102846,Battery_SOC,44
30:55.4,6419662,2405,Temp_High,37
30:55.4,6419662,2405,Temp_Low,27
30:55.5,6522533,102871,Current,37.8
30:55.5,6522533,102871,Voltage,332.8
30:55.5,6522533,102871,Battery_SOC,45
30:55.5,6524930,2397,Temp_High,38
30:55.5,6524930,2397,Temp_Low,28
30:55.6,6627808,102878,Current,38.8
30:55.6,6627808,102878,Voltage,332.8
30:55.6,6627808,102878,Battery_SOC,46
30:55.6,6630197,2389,Temp_High,38
30:55.6,6630197,2389,Temp_Low,28
30:55.7,6732997,102800,Current,39.8
30:55.7,6732997,102800,Voltage,332.8
30:55.7,6732997,102800,Battery_SOC,47
30:55.7,6735520,2523,Temp_High,38
30:55.7,6735520,2523,Temp_Low,28
30:55.8,6838325,102805,Current,40.8
30:55.8,6838325,102805,Voltage,332.8
30:55.8,6838325,102805,Battery_SOC,48
30:55.8,6840728,2403,Temp_High,39
30:55.8,6840728,2403,Temp_Low,29
30:55.9,6943609,102881,Current,41.8
30:55.9,6943609,102881,Voltage,332.8
30:55.9,6943609,102881,Battery_SOC,49
30:55.9,6946006,2397,Temp_High,39
30:55.9,6946006,2397,Temp_Low,29
30:56.0,7048898,102892,Current,42.8
30:56.0,7048898,102892,Voltage,332.8
30:56.0,7048898,102892,Battery_SOC,50
30:56.0,7051361,2463,Temp_High,40
30:56.0,7051361,2463,Temp_Low,30
30:56.1,7154032,102671,Current,43.8
30:56.1,7154032,102671,Voltage,332.8
30:56.1,7154032,102671,Battery_SOC,51
30:56.1,7156562,2530,Temp_High,40
30:56.1,7156562,2530,Temp_Low,30
30:56.3,7259438,102876,Current,70.4
30:56.3,7259438,102876,Voltage,332.8
30:56.3,7259438,102876,Battery_SOC,52
30:56.3,7261849,2411,Temp_High,40
30:56.3,7261849,2411,Temp_Low,30
30:56.4,7364668,102819,Current,71.4
30:56.4,7364668,102819,Voltage,332.8
30:56.4,7364668,102819,Battery_SOC,53
30:56.4,7367120,2452,Temp_High,41
30:56.4,7367120,2452,Temp_Low,31
30:56.5,7469851,102731,Current,72.4
30:56.5,7469851,102731,Voltage,332.8
30:56.5,7469851,102731,Battery_SOC,54
30:56.5,7472389,2538,Temp_High,41
30:56.5,7472389,2538,Temp_Low,31
30:56.6,7575207,102818,Current,73.4
30:56.6,7575207,102818,Voltage,332.8
30:56.6,7575207,102818,Battery_SOC,55
30:56.6,7577664,2457,Temp_High,42
30:56.6,7577664,2457,Temp_Low,32
30:56.7,7680520,102856,Current,74.4
30:56.7,7680520,102856,Voltage,332.8
30:56.7,7680520,102856,Battery_SOC,56
30:56.7,7682938,2418,Temp_High,42
30:56.7,7682938,2418,Temp_Low,32
30:56.8,7785780,102842,Current,75.4
30:56.8,7785780,102842,Voltage,332.8
30:56.8,7785780,102842,Battery_SOC,57
30:56.8,7788201,2421,Temp_High,42
30:56.8,7788201,2421,Temp_Low,32
30:56.9,7891071,102870,Current,76.4
30:56.9,7891071,102870,Voltage,332.8
30:56.9,7891071,102870,Battery_SOC,58
30:56.9,7893485,2414,Temp_High,43
30:56.9,7893485,2414,Temp_Low,33
30:57.0,7996371,102886,Current,51.8
30:57.0,7996371,102886,Voltage,358.4
30:57.0,7996371,102886,Battery_SOC,59
30:57.0,7998724,2353,Temp_High,43
30:57.0,7998724,2353,Temp_Low,33
30:57.1,8101534,102810,Current,52.8
30:57.1,8101534,102810,Voltage,358.4
30:57.1,8101534,102810,Battery_SOC,60
30:57.1,8103989,2455,Temp_High,44
30:57.1,8103989,2455,Temp_Low,34
30:57.2,8206793,102804,Current,53.8
30:57.2,8206793,102804,Voltage,358.4
30:57.2,8206793,102804,Battery_SOC,61
30:57.2,8209260,2467,Temp_High,44
30:57.2,8209260,2467,Temp_Low,34
30:57.3,8312120,102860,Current,54.8
30:57.3,8312120,102860,Voltage,358.4
30:57.3,8312120,102860,Battery_SOC,62
30:57.3,8314537,2417,Temp_High,44
30:57.3,8314537,2417,Temp_Low,34
30:57.4,8417391,102854,Current,55.8
30:57.4,8417391,102854,Voltage,358.4
30:57.4,8417391,102854,Battery_SOC,63
30:57.4,8419833,2442,Temp_High,45
30:57.4,8419833,2442,Temp_Low,35
30:57.5,8522708,102875,Current,56.8
30:57.5,8522708,102875,Voltage,358.4
30:57.5,8522708,102875,Battery_SOC,64
30:57.5,8525067,2359,Temp_High,45
30:57.5,8525067,2359,Temp_Low,35
30:57.6,8627911,102844,Current,57.8
30:57.6,8627911,102844,Voltage,358.4
30:57.6,8627911,102844,Battery_SOC,65
30:57.6,8630334,2423,Temp_High,46
30:57.6,8630334,2423,Temp_Low,36
30:57.7,8733200,102866,Current,58.8
30:57.7,8733200,102866,Voltage,358.4
30:57.7,8733200,102866,Battery_SOC,66
30:57.7,8735597,2397,Temp_High,46
30:57.7,8735597,2397,Temp_Low,36
30:57.8,8838367,102770,Current,59.8
30:57.8,8838367,102770,Voltage,358.4
30:57.8,8838367,102770,Battery_SOC,67
30:57.8,8840870,2503,Temp_High,46
30:57.8,8840870,2503,Temp_Low,36
30:57.9,8943728,102858,Current,60.8
30:57.9,8943728,102858,Voltage,358.4
30:57.9,8943728,102858,Battery_SOC,68
30:57.9,8946145,2417,Temp_High,47
30:57.9,8946145,2417,Temp_Low,37
30:58.0,9048981,102836,Current,61.8
30:58.0,9048981,102836,Voltage,358.4
30:58.0,9048981,102836,Battery_SOC,69
30:58.0,9051416,2435,Temp_High,47
30:58.0,9051416,2435,Temp_Low,37
30:58.1,9154236,102820,Current,62.8
30:58.1,9154236,102820,Voltage,358.4
30:58.1,9154236,102820,Battery_SOC,70
30:58.1,9156666,2430,Temp_High,48
30:58.1,9156666,2430,Temp_Low,38
30:58.3,9259458,102792,Current,63.8
30:58.3,9259458,102792,Voltage,358.4
30:58.3,9259458,102792,Battery_SOC,71
30:58.3,9261947,2489,Temp_High,48
30:58.3,9261947,2489,Temp_Low,38
30:58.4,9364814,102867,Current,64.8
30:58.4,9364814,102867,Voltage,358.4
30:58.4,9364814,102867,Battery_SOC,72
30:58.4,9367229,2415,Temp_High,48
30:58.4,9367229,2415,Temp_Low,38
30:58.5,9470053,102824,Current,65.8
30:58.5,9470053,102824,Voltage,358.4
30:58.5,9470053,102824,Battery_SOC,73
30:58.5,9472498,2445,Temp_High,49
30:58.5,9472498,2445,Temp_Low,39
30:58.6,9575353,102855,Current,66.8
30:58.6,9575353,102855,Voltage,358.4
30:58.6,9575353,102855,Battery_SOC,74
30:58.6,9577770,2417,Temp_High,49
30:58.6,9577770,2417,Temp_Low,39
30:58.7,9680616,102846,Current,67.8
30:58.7,9680616,102846,Voltage,358.4
30:58.7,9680616,102846,Battery_SOC,75
30:58.7,9683049,2433,Temp_High,50
30:58.7,9683049,2433,Temp_Low,40
30:58.8,9785900,102851,Current,68.8
30:58.8,9785900,102851,Voltage,358.4
30:58.8,9785900,102851,Battery_SOC,76
30:58.8,9788319,2419,Temp_High,50
30:58.8,9788319,2419,Temp_Low,40
30:58.9,9891135,102816,Current,95.4
30:58.9,9891135,102816,Voltage,358.4
30:58.9,9891135,102816,Battery_SOC,77
30:58.9,9893604,2469,Temp_High,50
30:58.9,9893604,2469,Temp_Low,40
30:59.0,9996366,102762,Current,96.4
30:59.0,9996366,102762,Voltage,358.4
30:59.0,9996366,102762,Battery_SOC,78
30:59.0,9998886,2520,Temp_High,51
30:59.0,9998886,2520,Temp_Low,41
30:59.1,10101686,102800,Current,97.4
30:59.1,10101686,102800,Voltage,358.4
30:59.1,10101686,102800,Battery_SOC,79
30:59.1,10104238,2552,Temp_High,51
30:59.1,10104238,2552,Temp_Low,41
30:59.2,10207057,102819,Current,98.4
30:59.2,10207057,102819,Voltage,358.4
30:59.2,10207057,102819,Battery_SOC,80
30:59.2,10209439,2382,Temp_High,52
30:59.2,10209439,2382,Temp_Low,42
30:59.3,10312229,102790,Current,99.4
30:59.3,10312229,102790,Voltage,358.4
30:59.3,10312229,102790,Battery_SOC,81
30:59.3,10314718,2489,Temp_High,52
30:59.3,10314718,2489,Temp_Low,42
30:59.4,10417599,102881,Current,100.4
30:59.4,10417599,102881,Voltage,358.4
30:59.4,10417599,102881,Battery_SOC,82
30:59.4,10419994,2395,Temp_High,52
30:59.4,10419994,2395,Temp_Low,42
30:59.5,10522836,102842,Current,101.4
30:59.5,10522836,102842,Voltage,358.4
30:59.5,10522836,102842,Battery_SOC,83
30:59.5,10525267,2431,Temp_High,53
30:59.5,10525267,2431,Temp_Low,43
30:59.6,10628123,102856,Current,76.8
30:59.6,10628123,102856,Voltage,384
30:59.6,10628123,102856,Battery_SOC,84
30:59.6,10630509,2386,Temp_High,53
30:59.6,10630509,2386,Temp_Low,43
30:59.7,10733313,102804,Current,77.8
30:59.7,10733313,102804,Voltage,384
30:59.7,10733313,102804,Battery_SOC,85
30:59.7,10735752,2439,Temp_High,54
30:59.7,10735752,2439,Temp_Low,44
30:59.8,10838611,102859,Current,78.8
30:59.8,10838611,102859,Voltage,384
30:59.8,10838611,102859,Battery_SOC,86
30:59.8,10841082,2471,Temp_High,54
30:59.8,10841082,2471,Temp_Low,44
30:59.9,10943768,102686,Current,79.8
30:59.9,10943768,102686,Voltage,384
30:59.9,10943768,102686,Battery_SOC,87
30:59.9,10946287,2519,Temp_High,54
30:59.9,10946287,2519,Temp_Low,44
31:00.0,11049150,102863,Current,80.8
31:00.0,11049150,102863,Voltage,384
31:00.0,11049150,102863,Battery_SOC,88
31:00.0,11051605,2455,Temp_High,55
31:00.0,11051605,2455,Temp_Low,45
31:00.1,11154419,102814,Current,81.8
31:00.1,11154419,102814,Voltage,384
31:00.1,11154419,102814,Battery_SOC,89
31:00.1,11156822,2403,Temp_High,55
31:00.1,11156822,2403,Temp_Low,45
31:00.3,11259664,102842,Current,82.8
31:00.3,11259664,102842,Voltage,384
31:00.3,11259664,102842,Battery_SOC,90
31:00.3,11262106,2442,Temp_High,56
31:00.3,11262106,2442,Temp_Low,46
31:00.4,11364974,102868,Current,83.8
31:00.4,11364974,102868,Voltage,384
31:00.4,11364974,102868,Battery_SOC,91
31:00.4,11367381,2407,Temp_High,56
31:00.4,11367381,2407,Temp_Low,46
31:00.5,11470215,102834,Current,84.8
31:00.5,11470215,102834,Voltage,384
31:00.5,11470215,102834,Battery_SOC,92
31:00.5,11472655,2440,Temp_High,56
31:00.5,11472655,2440,Temp_Low,46
31:00.6,11575487,102832,Current,85.8
31:00.6,11575487,102832,Voltage,384
31:00.6,11575487,102832,Battery_SOC,93
31:00.6,11577918,2431,Temp_High,57
31:00.6,11577918,2431,Temp_Low,47
31:00.7,11680708,102790,Current,86.8
31:00.7,11680708,102790,Voltage,384
31:00.7,11680708,102790,Battery_SOC,94
31:00.7,11683198,2490,Temp_High,57
31:00.7,11683198,2490,Temp_Low,47
31:00.8,11786036,102838,Current,87.8
31:00.8,11786036,102838,Voltage,384
31:00.8,11786036,102838,Battery_SOC,95
31:00.8,11788528,2492,Temp_High,58
31:00.8,11788528,2492,Temp_Low,48
31:00.9,11891325,102797,Current,88.8
31:00.9,11891325,102797,Voltage,384
31:00.9,11891325,102797,Battery_SOC,96
31:00.9,11893741,2416,Temp_High,58
31:00.9,11893741,2416,Temp_Low,48
31:01.0,11996589,102848,Current,89.8
31:01.0,11996589,102848,Voltage,384
31:01.0,11996589,102848,Battery_SOC,97
31:01.0,11999026,2437,Temp_High,58
31:01.0,11999026,2437,Temp_Low,48
31:01.1,12101915,102889,Current,90.8
31:01.1,12101915,102889,Voltage,384
31:01.1,12101915,102889,Battery_SOC,98
31:01.1,12104306,2391,Temp_High,59
31:01.1,12104306,2391,Temp_Low,49
31:01.2,12207138,102832,Current,91.8
31:01.2,12207138,102832,Voltage,384
31:01.2,12207138,102832,Battery_SOC,99
31:01.2,12209575,2437,Temp_High,59
31:01.2,12209575,2437,Temp_Low,49
31:01.3,12312420,102845,Current,92.8
31:01.3,12312420,102845,Voltage,384
31:01.3,12312420,102845,Battery_SOC,100
31:01.3,12314887,2467,Temp_High,60
31:01.3,12314887,2467,Temp_Low,50
31:01.4,12417781,102894,Current,18.4
31:01.4,12417781,102894,Voltage,281.6
31:01.4,12417781,102894,Battery_SOC,0
31:01.4,12420136,2355,Temp_High,20
31:01.4,12420136,2355,Temp_Low,10
31:01.5,12522917,102781,Current,19.4
31:01.5,12522917,102781,Voltage,281.6
31:01.5,12522917,102781,Battery_SOC,1
31:01.5,12525240,2323,Temp_High,20
31:01.5,12525240,2323,Temp_Low,10
31:01.6,12627990,102750,Current,20.4
31:01.6,12627990,102750,Voltage,281.6
31:01.6,12627990,102750,Battery_SOC,2
31:01.6,12630355,2365,Temp_High,20
31:01.6,12630355,2365,Temp_Low,10
31:01.7,12733055,102700,Current,21.4
31:01.7,12733055,102700,Voltage,281.6
31:01.7,12733055,102700,Battery_SOC,3
31:01.7,12735451,2396,Temp_High,21
31:01.7,12735451,2396,Temp_Low,11
31:01.8,12838229,102778,Current,22.4
31:01.8,12838229,102778,Voltage,281.6
31:01.8,12838229,102778,Battery_SOC,4
31:01.8,12840558,2329,Temp_High,21
31:01.8,12840558,2329,Temp_Low,11
31:01.9,12943332,102774,Current,23.4
31:01.9,12943332,102774,Voltage,281.6
31:01.9,12943332,102774,Battery_SOC,5
31:01.9,12945678,2346,Temp_High,22
31:01.9,12945678,2346,Temp_Low,12
31:02.0,13048460,102782,Current,24.4
31:02.0,13048460,102782,Voltage,281.6
31:02.0,13048460,102782,Battery_SOC,6
31:02.0,13050779,2319,Temp_High,22
31:02.0,13050779,2319,Temp_Low,12
31:02.1,13153533,102754,Current,25.4
31:02.1,13153533,102754,Voltage,281.6
31:02.1,13153533,102754,Battery_SOC,7
31:02.1,13155881,2348,Temp_High,22
31:02.1,13155881,2348,Temp_Low,12
31:02.3,13258671,102790,Current,0.8
31:02.3,13258671,102790,Voltage,307.2
31:02.3,13258671,102790,Battery_SOC,8
31:02.3,13260982,2311,Temp_High,23
31:02.3,13260982,2311,Temp_Low,13
31:02.4,13363700,102718,Current,1.8
31:02.4,13363700,102718,Voltage,307.2
31:02.4,13363700,102718,Battery_SOC,9
31:02.4,13366116,2416,Temp_High,23
31:02.4,13366116,2416,Temp_Low,13
31:02.5,13468822,102706,Current,2.8
31:02.5,13468822,102706,Voltage,307.2
31:02.5,13468822,102706,Battery_SOC,10
31:02.5,13471382,2560,Temp_High,24
31:02.5,13471382,2560,Temp_Low,14
31:02.6,13574168,102786,Current,3.8
31:02.6,13574168,102786,Voltage,307.2
31:02.6,13574168,102786,Battery_SOC,11
31:02.6,13576527,2359,Temp_High,24
31:02.6,13576527,2359,Temp_Low,14
31:02.7,13679363,102836,Current,4.8
31:02.7,13679363,102836,Voltage,307.2
31:02.7,13679363,102836,Battery_SOC,12
31:02.7,13681764,2401,Temp_High,24
